date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:23	25962/25962	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:22%20GMT	https://bc.game/keno-multiplayer	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/keno-multiplayer.html	(from https://bc.game/)
22:39:23	25792/25792	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:22%20GMT	https://bc.game/limbo	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/limbo.html	(from https://bc.game/)
22:39:23	25977/25977	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:23%20GMT	https://bc.game/mines	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/mines.html	(from https://bc.game/)
22:39:24	25910/25910	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:25%20GMT	https://bc.game/plinko	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/plinko.html	(from https://bc.game/)
22:39:24	25954/25954	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:26%20GMT	https://bc.game/ultimate-dice	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/ultimate-dice.html	(from https://bc.game/)
22:39:25	25893/25893	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:26%20GMT	https://bc.game/video-poker	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/video-poker.html	(from https://bc.game/)
22:39:25	25911/25911	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:28%20GMT	https://bc.game/wheel	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/wheel.html	(from https://bc.game/)
22:39:25	25895/25895	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:29%20GMT	https://bc.game/roulette	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/roulette.html	(from https://bc.game/)
22:39:25	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/tower-legend	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/tower-legend.html	(from https://bc.game/)
22:39:26	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/baccarat-multiplayer	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/baccarat-multiplayer.html	(from https://bc.game/)
22:39:26	25923/25923	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:30%20GMT	https://bc.game/roulette-multiplayer	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/roulette-multiplayer.html	(from https://bc.game/)
22:39:26	26003/26003	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:32%20GMT	https://bc.game/blackjack	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/blackjack.html	(from https://bc.game/)
22:39:26	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/egyptian	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/egyptian.html	(from https://bc.game/)
22:39:27	25947/25947	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:32%20GMT	https://bc.game/oriental-beauties	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/oriental-beauties.html	(from https://bc.game/)
22:39:27	25882/25882	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:33%20GMT	https://bc.game/sword	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/sword.html	(from https://bc.game/)
22:39:27	25977/25977	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:35%20GMT	https://bc.game/ring-of-fortune	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/ring-of-fortune.html	(from https://bc.game/)
22:39:28	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/coinflip	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/coinflip.html	(from https://bc.game/)
22:39:29	26033/26033	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:29%20GMT	https://bc.game/baccarat	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/baccarat.html	(from https://bc.game/)
22:39:29	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/slots-list/all	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/slots-list/all.html	(from https://bc.game/)
22:39:29	2176/2176	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-a61%22	https://bc.game/assets/slots.42749df8.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/slots.42749df8.png	(from https://bc.game/)
22:39:29	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/live-list/all	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/live-list/all.html	(from https://bc.game/)
22:39:29	2382/2382	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-ad5%22	https://bc.game/assets/livecasino.80cdfcc2.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/livecasino.80cdfcc2.png	(from https://bc.game/)
22:39:30	35617/35617	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/promotion	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/promotion.html	(from https://bc.game/)
22:39:30	2567/2567	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-c1b%22	https://bc.game/assets/promotion.316446ec.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/promotion.316446ec.png	(from https://bc.game/)
22:39:30	5531/5531	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-16f8%22	https://bc.game/assets/task-D.84ed4cc1.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/task-D.84ed4cc1.png	(from https://bc.game/)
22:39:30	5844/5844	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-1a9b%22	https://bc.game/assets/spin.99a0cd5f.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/spin.99a0cd5f.png	(from https://bc.game/)
22:39:30	1198/1198	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-4ae%22	https://bc.game/assets/pointer.0d70e6f4.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/pointer.0d70e6f4.png	(from https://bc.game/)
22:39:30	3299/3299	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-ce3%22	https://bc.game/assets/spin_default.2e122b5a.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/spin_default.2e122b5a.png	(from https://bc.game/)
22:39:31	3135/3135	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-c3f%22	https://bc.game/assets/pig.e37fd6d9.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/pig.e37fd6d9.png	(from https://bc.game/)
22:39:31	3258/3258	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-cd7%22	https://bc.game/assets/Recharge_d.879d9b90.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Recharge_d.879d9b90.png	(from https://bc.game/)
22:39:31	2435/2435	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-983%22	https://bc.game/assets/shitcode.dcc7e39e.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/shitcode.dcc7e39e.svg	(from https://bc.game/)
22:39:31	1944/1944	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-a1a%22	https://bc.game/assets/enter.419f7345.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/enter.419f7345.png	(from https://bc.game/)
22:39:32	2292/2292	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-8f4%22	https://bc.game/assets/bcdcoin2.6b992163.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/bcdcoin2.6b992163.png	(from https://bc.game/)
22:39:32	2235/2235	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-aa0%22	https://bc.game/assets/enterLight.53555dfd.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/enterLight.53555dfd.png	(from https://bc.game/)
22:39:32	26028/26028	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/lottery	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/lottery.html	(from https://bc.game/)
22:39:32	2250/2250	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-a99%22	https://bc.game/assets/lottery.bc95b607.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/lottery.bc95b607.png	(from https://bc.game/)
22:39:33	30819/30819	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/casino	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/casino.html	(from https://bc.game/)
22:39:33	1904/1904	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-a13%22	https://bc.game/assets/affiliate.6f434c33.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/affiliate.6f434c33.png	(from https://bc.game/)
22:39:33	27143/27143	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:10%20GMT	https://bc.game/vip-club	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/vip-club.html	(from https://bc.game/)
22:39:33	1678/1678	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-810%22	https://bc.game/assets/vipclub.3b37e72c.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/vipclub.3b37e72c.png	(from https://bc.game/)
22:39:33	1761/1761	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-8d4%22	https://bc.game/assets/forum.4eccff26.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/forum.4eccff26.png	(from https://bc.game/)
22:39:35	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/help/provably-fair	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/help/provably-fair.html	(from https://bc.game/)
22:39:35	1052/1052	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-51e%22	https://bc.game/assets/fairness.12d49bfb.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/fairness.12d49bfb.png	(from https://bc.game/)
22:39:35	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/my-favorite	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/my-favorite.html	(from https://bc.game/)
22:39:35	1004/1004	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-768%22	https://bc.game/assets/myfavorite.466f0741.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/myfavorite.466f0741.png	(from https://bc.game/)
22:39:36	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/recent	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/recent.html	(from https://bc.game/)
22:39:36	11707/11707	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:36%20GMT	https://t.me/bcgamewin	C:/Users/Acer/Desktop/Web%20Development/assingment_game/t.me/bcgamewin.html	(from https://bc.game/)
22:39:36	767/767	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-2ff%22	https://bc.game/assets/Telegram.f76d7c46.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Telegram.f76d7c46.svg	(from https://bc.game/)
22:39:38	149551/149551	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:37%20GMT	https://forum.bc.game/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/forum.bc.game/index.html	(from https://bc.game/)
22:39:38	112643/112643	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:38%20GMT	https://medium.com/@BC.Game	C:/Users/Acer/Desktop/Web%20Development/assingment_game/medium.com/@BC.html	(from https://bc.game/)
22:39:38	785/785	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-311%22	https://bc.game/assets/Medium.f93e5da0.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Medium.f93e5da0.svg	(from https://bc.game/)
22:39:39	132468/132468	---MCZ	200	added ('OK')	text/html	etag:W/%22433a9ea1230925d26b3de04c6586daab%22	https://github.com/bcgame-project	C:/Users/Acer/Desktop/Web%20Development/assingment_game/github.com/bcgame-project.html	(from https://bc.game/)
22:39:39	2481/2481	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-9b1%22	https://bc.game/assets/Github.87e42b3d.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Github.87e42b3d.svg	(from https://bc.game/)
22:39:41	1060/1060	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-424%22	https://bc.game/assets/Twitter.ec46be69.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Twitter.ec46be69.svg	(from https://bc.game/)
22:39:41	122445/122445	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:40%20GMT	https://twitter.com/BCGameOfficial	C:/Users/Acer/Desktop/Web%20Development/assingment_game/twitter.com/BCGameOfficial.html	(from https://bc.game/)
22:39:41	666/666	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-29a%22	https://bc.game/assets/Facebook.46e5f650.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Facebook.46e5f650.svg	(from https://bc.game/)
22:39:42	561636/561636	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:41%20GMT	https://www.facebook.com/bcgameofficial	C:/Users/Acer/Desktop/Web%20Development/assingment_game/www.facebook.com/bcgameofficial.html	(from https://bc.game/)
22:39:42	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2021%20Aug%202022%2017:09:42%20GMT	https://discord.gg/bcgame	C:/Users/Acer/Desktop/Web%20Development/assingment_game/discord.gg/bcgame.4f.delayed	(from https://bc.game/)
22:39:43	5888/5888	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Aug%202022%2001:23:50%20GMT	https://discord.com/invite/bcgame	C:/Users/Acer/Desktop/Web%20Development/assingment_game/discord.com/invite/bcgame.html	(from https://bc.game/)
22:39:43	2033/2033	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-7f1%22	https://bc.game/assets/Discord.cbf05e6a.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Discord.cbf05e6a.svg	(from https://bc.game/)
22:39:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2021%20Aug%202022%2017:09:43%20GMT	https://instagram.com/bc.gameofficial	C:/Users/Acer/Desktop/Web%20Development/assingment_game/instagram.com/bc.52.delayed	(from https://bc.game/)
22:39:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2021%20Aug%202022%2017:09:43%20GMT	https://www.instagram.com/bc.gameofficial	C:/Users/Acer/Desktop/Web%20Development/assingment_game/www.instagram.com/bc.53.delayed	(from https://bc.game/)
22:39:44	814/814	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-32e%22	https://bc.game/assets/Ins.ffb7cba8.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Ins.ffb7cba8.svg	(from https://bc.game/)
22:39:45	650735/650735	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:44%20GMT	https://www.instagram.com/bc.gameofficial/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/www.instagram.com/bc.gameofficial/index.html	(from https://bc.game/)
22:39:46	1779/1779	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-6f3%22	https://bc.game/assets/Btc.1871486e.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/Btc.1871486e.svg	(from https://bc.game/)
22:39:46	1685/1685	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-695%22	https://bc.game/assets/lobby.0bab0f86.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/lobby.0bab0f86.png	(from https://bc.game/)
22:39:46	268062/268062	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:45%20GMT	https://bitcointalk.org/index.php?topic=5088875.0	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bitcointalk.org/index5144.html	(from https://bc.game/)
22:39:46	2205/2205	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-89d%22	https://bc.game/assets/tablegame.61a94bd2.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/tablegame.61a94bd2.png	(from https://bc.game/)
22:39:47	1983/1983	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-a91%22	https://bc.game/assets/gameshow.aa85830f.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/gameshow.aa85830f.png	(from https://bc.game/)
22:39:47	22515/22515	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-57f3%22	https://bc.game/assets/biggest.0fe89ab9.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/biggest.0fe89ab9.png	(from https://bc.game/)
22:39:47	2786/2786	---M--	200	added ('OK')	image/png	etag:%2262ff43f1-ae2%22	https://bc.game/assets/topwin.a65b35ca.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/topwin.a65b35ca.png	(from https://bc.game/)
22:39:47	842/842	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2021%20Aug%202022%2017:09:47%20GMT	https://angel.co/company/bc-game-2	C:/Users/Acer/Desktop/Web%20Development/assingment_game/angel.co/company/bc-game-2.5c.delayed	(from https://bc.game/)
22:39:48	74114/74114	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:46%20GMT	https://bc.game/help/terms-service	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/help/terms-service.html	(from https://bc.game/)
22:39:48	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/help/bonus	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/help/bonus.html	(from https://bc.game/)
22:39:48	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/app_download/android	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/app_download/android.html	(from https://bc.game/)
22:39:50	31649/31649	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:47%20GMT	https://bc.game/help/aml	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/help/aml.html	(from https://bc.game/)
22:39:50	9756/9756	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2002:34:40%20GMT	https://bcgame.com/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bcgame.com/index.html	(from https://bc.game/)
22:39:50	94647/94647	---MC-	200	added ('OK')	text/html	etag:%221661068948%22	https://www.begambleaware.org/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/www.begambleaware.org/index.html	(from https://bc.game/)
22:39:50	271812/271812	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2013:43:03%20GMT	https://blog.bc.game/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/blog.bc.game/index.html	(from https://bc.game/)
22:39:51	26267/26267	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:08%20GMT	https://bc.game/help/self-exclusion	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/help/self-exclusion.html	(from https://bc.game/)
22:39:51	4685/4685	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202022%2017:09:51%20GMT	https://bc.game/cdn-cgi/l/email-protection	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/cdn-cgi/l/email-protection.html	(from https://bc.game/)
22:39:51	62598/62598	---M--	200	added ('OK')	application/pdf	etag:%2261310e11-f486%22	https://bc.game/license.pdf	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/license.pdf	(from https://bc.game/)
